;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
17;B;DC;50;100.0;1;998.0;2.0;340.8613569321534;5.8557532539462755;408.84196483774684;1960.7492540497647;0.0;-0.0;-1.6073170065324358;;1006.9523672877968;False
18;B;DC;100;150.0;2;1180.0;2.0;340.8613569321534;6.9236361118803655;443.8477508771472;2225.181580707409;0.0;-0.0;-1.8906001920917972;;1006.9523672877968;False
19;B;DC;150;200.0;3;1501.0;3.0;511.2920353982301;8.807099833841042;499.1697383942797;2676.454905843705;0.0;-0.0;-1.9827082622945948;;1006.9523672877968;False
20;B;DC;200;250.0;4;1620.0;9.0;1533.8761061946902;9.505330933259485;518.030989608431;2839.869758277153;0.0;-0.0;-0.1662523971208924;;1006.9523672877968;False
21;B;DC;250;300.0;5;1844.0;7.0;1193.014749262537;10.819648296870673;551.5828871674041;3142.878439197848;0.0;-0.0;-1.180212921543903;;1006.9523672877968;False
22;B;DC;300;400.0;6;4397.0;19.0;3238.182890855457;25.799345749099974;832.0771588200752;6356.391972601914;0.0;-0.0;-1.392679869722419;;1006.9523672877968;False
23;B;DC;400;500.0;7;5137.0;26.0;4431.1976401179945;30.14128703960122;893.11780795092;7240.131716736928;0.0;-0.0;-0.7902679283725489;;1006.9523672877968;False
24;B;DC;500;600.0;8;5411.0;29.0;4942.489675516224;31.748978814732762;914.2384276844128;7563.866975448833;0.0;-0.0;-0.5124596716749488;;1006.9523672877968;False
25;B;DC;600;700.0;9;5606.0;28.0;4772.058997050148;32.893139019662144;928.8318860624735;7793.231943763815;0.0;-0.0;-0.8978384737469716;;1006.9523672877968;False
26;B;DC;700;800.0;10;5667.0;31.0;5283.351032448378;33.25105580171697;933.325489326499;7864.813570804359;0.0;-0.0;-0.4110559198682861;;1006.9523672877968;False
27;B;DC;800;900.0;11;5417.0;29.0;4942.489675516224;31.784183744115204;914.6927575464697;7570.936840515061;0.0;-0.0;-0.5187647115044187;;1006.9523672877968;False
28;B;DC;900;1000.0;12;4561.0;39.0;6646.796460176991;26.761613818886737;846.1497301197412;6553.530345583495;39.0;12.238386181113263;2.465044171179755;;1006.9523672877968;False
29;B;DC;1000;1100.0;13;3805.0;38.0;6476.365781710914;22.325792716698974;778.319146118955;5637.801526712288;38.0;15.674207283301026;3.4322241654102057;;1006.9523672877968;False
30;B;DC;1100;1200.0;14;3098.0;27.0;4601.628318584071;18.177478537801164;706.8823987508225;4762.580842057998;0.0;0.0;2.1271265506698565;;1006.9523672877968;False
31;B;DC;1200;inf;15;6976.0;50.0;8521.533923303834;40.931597895319854;1022.4339056611082;9383.647855770061;0.0;0.0;1.5116223305451595;;1006.9523672877968;False
32;B;MacCD163;0;50.0;0;84615294.0;40.0;469.7235772357724;7205539.436444199;;;0.0;-0.0;;;0.0;False
33;B;MacCD163;50;100.0;1;998.0;67.0;786.7869918699187;84.98615342010524;107.31804794457523;1250.7146904934782;0.0;-0.0;-1.9681033356026287;;0.0;False
34;B;MacCD163;100;150.0;2;1180.0;88.0;1033.3918699186993;100.48463029631681;116.50681266936276;1454.3525778564813;0.0;-0.0;-1.258365298322624;;0.0;False
35;B;MacCD163;150;200.0;3;1501.0;138.0;1620.5463414634146;127.8198559955691;131.0284328046857;1809.5483800374648;0.0;0.0;0.9123694674850716;;0.0;False
36;B;MacCD163;200;250.0;4;1620.0;107.0;1256.510569105691;137.95347549155358;135.97937433266281;1940.2069563893215;0.0;-0.0;-2.6731218074666288;;0.0;False
37;B;MacCD163;250;300.0;5;1844.0;161.0;1890.6373983739838;157.02852395458322;144.78650388526228;2184.946161598967;0.0;0.0;0.32211150295432356;;0.0;False
38;B;MacCD163;300;400.0;6;4397.0;384.0;4509.346341463414;374.43298255330933;218.41421405769137;4911.326169382733;0.0;0.0;0.514372848617533;;0.0;False
39;B;MacCD163;400;500.0;7;5137.0;419.0;4920.354471544715;437.44876765438937;234.4369413542685;5689.056808796777;0.0;-0.0;-0.9241100280689203;;0.0;False
40;B;MacCD163;500;600.0;8;5411.0;446.0;5237.417886178861;460.78163943505956;239.98095071758732;5976.111953175359;0.0;-0.0;-0.7233162186502555;;0.0;False
41;B;MacCD163;600;700.0;9;5606.0;523.0;6141.635772357724;477.38715037385765;243.81162760643218;6180.132507899248;0.0;0.0;2.1969246406178904;;0.0;False
42;B;MacCD163;700;800.0;10;5667.0;438.0;5143.473170731707;482.58169482137913;244.99116584371652;6243.9101081842855;0.0;-0.0;-2.1369212537331186;;0.0;False
43;B;MacCD163;800;900.0;11;5417.0;383.0;4497.603252032521;461.2925782331764;240.10020900835065;5982.392784988984;0.0;-0.0;-3.8292209397264743;;0.0;False
44;B;MacCD163;900;1000.0;12;4561.0;418.0;4908.6113821138215;388.3986430351703;222.10816186962984;5084.024751735583;0.0;0.0;1.5650545175276265;;0.0;False
45;B;MacCD163;1000;1100.0;13;3805.0;338.0;3969.1642276422763;324.0203544724453;204.3031259585197;4286.097096269605;0.0;0.0;0.8035326276681986;;0.0;False
46;B;MacCD163;1100;1200.0;14;3098.0;301.0;3534.669918699187;263.81473276100803;185.55149834098717;3534.9403876788833;0.0;0.0;2.353362395903268;;0.0;False
47;B;MacCD163;1200;inf;15;6976.0;669.0;7856.126829268293;594.0515092772085;268.3814782845099;7607.990084779402;669.0;74.94849072279146;3.279387366423529;;0.0;False
